file_path	sub_id	cohort	gait_event	side	ref	pred
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	L	1358.0	1352.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	L	1484.0	1472.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	L	1690.0	1688.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	L	1820.0	1818.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	L	1948.0	1947.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	L		1549.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	52.0	52.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	163.0	161.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	275.0	278.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	555.0	557.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	673.0	672.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	786.0	784.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	895.0	895.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1005.0	1009.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1119.0	1118.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1220.0	1221.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1334.0	1333.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1437.0	1434.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1665.0	1664.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1794.0	1793.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	R	1921.0	1920.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	125.0	113.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	230.0	224.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	458.0	467.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	633.0	627.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	760.0	747.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	862.0	858.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	973.0	972.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1083.0	1081.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1193.0	1188.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1291.0	1289.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1404.0	1401.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1610.0	1607.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1757.0	1752.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R	1888.0	1879.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	FC	R		13.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	0.0	1.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	141.0	141.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	256.0	256.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	352.0	352.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	448.0	449.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	543.0	543.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	638.0	638.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	737.0	737.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	832.0	833.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	933.0	934.0
